title,description,instructions,cuisine,dishtype,mark,images,timetocook,mealtype
Asian Beef with Snow Peas,"""Stir-fried beef in a light gingery sauce. Serve over steamed rice or hot egg noodles.""","Prep5 m
Cook10 m
Ready In15 m

  In a small bowl, combine the soy sauce, rice wine, brown sugar and cornstarch. Set aside.                  
 Heat oil in a wok or skillet over medium high heat. Stir-fry ginger and garlic for 30 seconds. Add the steak and stir-fry for 2 minutes or until evenly browned. Add the snow peas and stir-fry for an additional 3 minutes. Add the soy sauce mixture, bring to a boil, stirring constantly. Lower heat and simmer until the sauce is thick and smooth. Serve immediately.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/4538031.jpg},0:15:00,
Asian Fire Meat,"""For a great tasting beef dish from Asia, fire meat is delicious and easy to prepare. Ice cold beer is the beverage recommended with fire meat.""","Prep15 m
Cook5 m
 Ready In2 h 20 m
 In a large bowl, mix together the soy sauce, sesame oil, brown sugar, garlic, and red onion. Stir in the black pepper, red pepper flakes, sesame seeds, leeks and carrot. Mix in the meat by hand to ensure even coating. Cover and let marinate for at least 2 hours or overnight.
 Brush the bottom half of a wok with cooking oil, and heat over medium-high heat. Put in all of the meat and marinade at once, and cook stirring constantly. The meat will be cooked after just a few minutes. Remove from heat and serve with rice or noodles. For Korean-style fire meat, roll the meat mixture up in a leaf of red lettuce.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/250x250/819094.jpg,https://images.media-allrecipes.com/userphotos/125x70/819094.jpg}",2:20:00,
Beef Egg Rolls,"""Crispy fried egg rolls stuffed with ground beef, cabbage, and delicious seasonings. A personal creation of mine that goes well with any Chinese dish. The sherry makes it better.""","Prep25 m
Cook20 m
Ready In45 m
  In a large skillet over medium-high heat, brown beef, then mix in onion, garlic, 2 tablespoons soy sauce, 1/2 teaspoon salt, 1/2 teaspoon pepper, 2 tablespoons sherry, and ginger. Continue to saute just until onions are tender. Transfer mixture to a bowl and set aside.
 In the same skillet, saute cabbage with water, 1 tablespoon oil, sugar, and remaining soy sauce, sherry, salt, and pepper. Continue to saute until cabbage is crisp-tender, about 5 minutes. Return meat mixture to pan and stir together with cabbage over low heat until heated through. Remove from heat.
 Pour oil into a deep pan and heat to 350 degrees F (175 degrees C). Fill each egg roll wrapper with approximately 1/4 cup of filling and roll up according to package directions. Fry in preheated oil until golden brown. Drain on paper towels and serve hot.",Chinese,Appetizers & Snacks,red,"{https://images.media-allrecipes.com/userphotos/250x250/195107.jpg,https://images.media-allrecipes.com/userphotos/125x70/195107.jpg}",0:45:00,
Beef Lo Mein,"""I couldn't find a good lo mein recipe on here, so I'm posting mine. I made it this week and my roommate and I agreed that it was possibly the best that we've ever had.""","Prep15 m
Cook25 m
Ready In40 m
 Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water until cooked through but firm to the bite, about 12 minutes; drain and transfer to a large bowl. Drizzle sesame oil over the spaghetti; toss to coat. Place a plate atop the bowl to keep the noodles warm.
 Heat peanut oil in a wok or large skillet over medium-high heat. Cook and stir garlic and ginger in hot oil until fragrant, about 30 seconds. Add mixed vegetables to the skillet; cook and stir until slightly tender, about 3 minutes. Stir flank steak into the vegetable mixture; cook and stir until the beef is cooked through, about 5 minutes.
Mix soy sauce, brown sugar, oyster sauce, and chile paste together in a small bowl; pour over the spaghetti. Dump spaghetti and sauce mixture into the wok with the vegetables and steak; cook and stir until the spaghetti is hot, 2 to 3 minutes.",Chinese,Appetizers & Snacks,red,"{https://images.media-allrecipes.com/userphotos/560x315/999688.jpg,https://images.media-allrecipes.com/userphotos/125x70/999688.jpg}",0:40:00,
Beefy Chinese Dumplings,"""This is a delicious meat and veggie dumpling recipe that my mom has been making ever since I can remember. It may take some time and practice when it comes to making these, but it's well worth it. Just boil them in water, and serve hot with soy sauce, or add them to a soup.""","Prep30 m             
Cook5 m
Ready In35 m
 In a large bowl, mix together beef, cabbage, carrot, and onion. Stir in the egg, sugar, salt, soy sauce, and vegetable oil.
Place a large teaspoonful of filling in the center of a dumpling skin. Moisten the edges of a wonton with a few drops of water. Then fold the dumpling in half, and pinch the edges together to seal. Create a ripple pattern along the pinched edge by pinching and gently pushing together small segments of it. Repeat with remaining dumplings.
Boil the dumplings in water until they float to the top, about 5 minutes.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/250x250/194673.jpg,https://images.media-allrecipes.com/userphotos/125x70/194673.jpg}",0:35:00,
Black Pepper Beef and Cabbage Stir Fry,"""A very simple Chinese stir-fry dish which is fabulous in taste. I saw my husband going for two additional servings of it and I had to remind him to leave some for the rest of the family! Serve with hot steamed rice.""","Prep15 m
Cook15 m
Ready In30 m
 Heat a wok or large skillet over medium-high heat, and add oil. Saute garlic for about 5 seconds, then add ground beef. Stir-fry until beef is evenly brown, 5 to 7 minutes; drain excess fat.
Stir in cabbage and pepper, and cook until vegetables are tender and beef is fully cooked. Stir in soy sauce. Mix together cornstarch and water, and stir in. Season with pepper; add salt to taste. Cook, stirring, until sauce has thickened.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/5181801.jpg},0:30:00,
Chi Tan T'ang (Egg Drop Soup),"""The best egg drop soup I've ever had!!! Reheats well in microwave.""","Prep10 m
Cook10 m
Ready In20 m
 In a large saucepan, dissolve bouillon in hot water. Mix cornstarch with a small amount of water, and stir into bouillon. Add soy sauce, vinegar, and green onion. Bring to a boil, then simmer, stirring occasionally. Gradually pour the beaten eggs into the saucepan while stirring. Serve at once.",Chinese,"Soups, Stews, and Chili",red,"{https://images.media-allrecipes.com/userphotos/250x250/442097.jpg,https://images.media-allrecipes.com/userphotos/125x70/442097.jpg}",0:20:00,
Chinese Cabbage Salad II,"""This is a wonderful and crunchy cabbage salad with great texture and color.  You can vary the flavor a little by using beef flavored ramen, if you like.""","Prep15 m
Cook10 m
Ready In45 m
 In a small saucepan, cook the vinegar and sugar over medium heat until dissolved. Remove from heat and stir in salt, pepper, ramen seasoning packet and oil. Set aside to cool.
In a large bowl, combine the uncooked ramen noodles, broccoli coleslaw mix, and green onions. Pour dressing over salad; toss evenly to coat. Refrigerate until chilled.
Sprinkle with almonds and sesame seeds before serving.",Chinese,Salad,red,"{https://images.media-allrecipes.com/userphotos/560x315/3094395.jpg,https://images.media-allrecipes.com/userphotos/125x70/1436285.jpg}",0:45:00,
Chinese Fried Noodles,"""This is a quick, easy, and delicious recipe that all will enjoy. Try adding cooked, cubed pork or chicken, bean sprouts, water chestnuts, sliced almonds, or any of your favorite vegetables for versatility.""","Prep15 m
Cook25 m
Ready In40 m
 Boil ramen noodles for 3 minutes, or until softened, without flavor packets. Reserve flavor packets. Drain noodles, and set aside.
  Heat 1 tablespoon oil in a small skillet. Scramble eggs in a bowl. Cook and stir in hot oil until firm. Set aside.
 In a separate skillet, heat 1 teaspoon of oil over medium heat. Cook and stir green onions in oil for 2 to 3 minutes, or until softened. Transfer to a separate dish, and set aside. Heat another teaspoon of cooking oil in the same skillet. Cook and stir the the carrots, peas, and bell peppers separately in the same manner, setting each aside when done.
 Combine 2 tablespoons sesame oil with 1 tablespoon of vegetable oil in a separate skillet or wok. Fry noodles in oil for 3 to 5 minutes over medium heat, turning regularly. Sprinkle soy sauce, sesame oil, and desired amount of reserved ramen seasoning packets over noodles, and toss to coat. Add vegetables, and continue cooking, turning frequently, for another 5 minutes.",Chinese,Side Dish,yellow,{https://images.media-allrecipes.com/userphotos/125x70/1067424.jpg},0:40:00,
Chinese Green Bean Stir-Fry,"""Asian-style green beans with lots of flavor! This recipe is made for a large party; but can be scaled down for a family dinner.  Serve cold or warm.""","Prep20 m
Cook15 m
Ready In35 m
In a large wok, heat oil over medium-high heat. Stir in green beans; cook, stirring frequently, for 1 to 2 minutes. Stir in garlic and ginger; cook, stirring frequently, for 3 to 4 minutes. Season with salt and pepper, and then stir in black bean sauce. Continue cooking until green beans are tender.",Chinese,Side Dish,green,"{https://images.media-allrecipes.com/userphotos/560x315/266714.jpg,https://images.media-allrecipes.com/userphotos/125x70/266714.jpg}",0:35:00,
Chinese Pepper Steak,"""A delicious meal, served with boiled white rice, that's easy and made from items that I've already got in my cupboards! My mother clipped this recipe from somewhere and it became a specialty of mine; however, I've been unable to find the original source.""","Prep15 m
Cook15 m
Ready In30 m
 Slice the steak into 1/2-inch thick slices across the grain.
  Whisk together soy sauce, sugar, cornstarch, and ginger in a bowl until the sugar has dissolved and the mixture is smooth. Place the steak slices into the marinade, and stir until well-coated.
  Heat 1 tablespoon of vegetable oil in a wok or large skillet over medium-high heat, and place 1/3 of the steak strips into the hot oil. Cook and stir until the beef is well-browned, about 3 minutes, and remove the beef from the wok to a bowl. Repeat twice more, with the remaining beef, and set the cooked beef aside.
  Return all the cooked beef to the hot wok, and stir in the onion. Toss the beef and onion together until the onion begins to soften, about 2 minutes, then stir in the green pepper. Cook and stir the mixture until the pepper has turned bright green and started to become tender, about 2 minutes, then add the tomatoes, stir everything together, and serve.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/7127114.jpg},0:30:00,
